timestamp,open,high,low,close,volume
2025-10-16 00:00:00,111188.68,111849.93,110373.0,111127.96,195.54638
2025-10-16 04:00:00,111128.04,111701.62,110626.66,110626.66,22.8246
2025-10-16 08:00:00,110932.52,111578.85,109687.6,111234.56,2.21624
2025-10-16 12:00:00,111449.26,111935.62,108421.01,108806.15,3.61261
2025-10-16 16:00:00,108805.25,109250.35,107659.69,108574.68,6.79758
2025-10-16 20:00:00,108505.65,108572.59,107518.4,107998.02,4.14254
2025-10-17 00:00:00,108288.43,109167.93,107911.15,109102.74,1.85708
2025-10-17 04:00:00,109123.45,109215.88,105623.0,105623.0,5.46376
2025-10-17 08:00:00,105623.0,106651.28,103800.0,105573.0,5.61917
2025-10-17 12:00:00,105849.1,106734.82,104678.08,106734.82,8.04483
2025-10-17 16:00:00,106745.38,107486.53,106108.76,106622.99,2.30279
2025-10-17 20:00:00,106620.04,107458.91,106330.68,106721.75,1.11694
2025-10-18 00:00:00,106715.43,107312.48,106368.11,106870.41,0.28487
2025-10-18 04:00:00,106877.63,107385.82,106440.02,106520.04,0.67683
2025-10-18 08:00:00,107056.89,107087.08,106581.0,107087.08,0.14859
2025-10-18 12:00:00,107225.43,107336.41,106758.0,107102.51,1.47957
2025-10-18 16:00:00,107100.69,107100.69,106501.2,106950.0,1.69071
2025-10-18 20:00:00,106847.39,107309.95,106753.93,106959.99,0.51567
2025-10-19 00:00:00,107207.1,107234.09,106714.08,107229.99,1.20966
2025-10-19 04:00:00,107233.77,107332.98,106620.0,106915.34,1.02421
2025-10-19 08:00:00,106914.09,108206.08,106108.0,107598.76,2.61617
2025-10-19 12:00:00,107787.21,108579.06,107386.67,108568.16,0.32439
2025-10-19 16:00:00,108566.68,109412.23,108258.8,108753.47,1.88048
2025-10-19 20:00:00,109155.2,109311.31,108452.65,108455.55,0.74312
2025-10-20 00:00:00,108820.95,110342.37,107466.61,110339.24,2.26491
2025-10-20 04:00:00,110335.03,111296.28,110000.03,111096.13,0.70789
2025-10-20 08:00:00,111286.41,111514.87,110626.66,110652.89,0.27067
2025-10-20 12:00:00,111010.17,111631.1,110626.67,111117.08,2.6783
2025-10-20 16:00:00,111117.09,111320.36,109806.85,110932.24,2.0485
2025-10-20 20:00:00,110928.9,111234.53,110444.12,110519.56,2.44061
2025-10-21 00:00:00,110475.46,110784.68,109141.39,109141.39,0.62892
2025-10-21 04:00:00,109117.46,109304.63,107519.26,108203.54,2.13337
2025-10-21 08:00:00,107835.89,108780.55,107519.06,108659.77,0.16918
2025-10-21 12:00:00,108658.57,113494.63,108000.0,113426.55,3.1797
2025-10-21 16:00:00,113473.03,113893.72,111375.43,111998.85,2.42079
2025-10-21 20:00:00,111643.37,111993.14,108130.0,108594.71,2.94802
2025-10-22 00:00:00,108329.95,108780.54,107770.34,108342.66,30.63774
2025-10-22 04:00:00,108342.66,108780.56,107689.83,108763.36,25.11689
2025-10-22 08:00:00,108708.26,108708.31,107072.1,108151.34,23.09837
2025-10-22 12:00:00,108150.4,109631.42,107578.98,108714.26,14.94595
2025-10-22 16:00:00,108714.22,108943.98,107519.06,107701.51,7.97219
2025-10-22 20:00:00,107702.98,108205.21,106745.4,107586.53,3.84677
2025-10-23 00:00:00,107586.56,108645.07,107486.95,108285.49,78.0192
2025-10-23 04:00:00,108281.58,110183.09,107857.31,109529.19,16.61192
2025-10-23 08:00:00,109144.24,109924.6,109080.51,109080.51,0.42018
2025-10-23 12:00:00,109454.36,110036.25,108716.1,109668.85,0.67894
2025-10-23 16:00:00,109999.93,111266.46,109698.14,110200.0,2.50798
2025-10-23 20:00:00,110351.69,110351.69,109360.0,110070.09,0.48
2025-10-24 00:00:00,110069.99,110756.79,110013.03,110615.57,0.30521
2025-10-24 04:00:00,110613.16,111400.0,110283.16,110668.73,3.81529
2025-10-24 08:00:00,110715.02,111399.34,110476.38,111026.21,0.48156
2025-10-24 12:00:00,110659.63,111935.97,109698.11,109922.83,0.72721
2025-10-24 16:00:00,110277.17,110887.47,109734.72,110859.5,0.5535
2025-10-24 20:00:00,110851.23,111036.19,110469.73,111030.0,0.80474
2025-10-25 00:00:00,110942.07,111089.09,110500.8,111084.22,0.54052
2025-10-25 04:00:00,111079.29,111642.19,110907.07,111411.72,0.42776
2025-10-25 08:00:00,111643.65,111714.29,111250.03,111344.38,0.06213
2025-10-25 12:00:00,111346.17,111882.18,111251.56,111637.92,0.15314
2025-10-25 16:00:00,111252.96,111877.33,111133.49,111666.34,0.37246
2025-10-25 20:00:00,111667.44,111692.35,111205.39,111683.45,0.06799
2025-10-26 00:00:00,111370.5,111880.67,111190.14,111190.14,0.30116
2025-10-26 04:00:00,111190.13,111704.67,111190.13,111529.83,0.16872
2025-10-26 08:00:00,111696.35,113375.44,111565.1,113049.31,0.73274
2025-10-26 12:00:00,113261.54,113893.73,113120.52,113699.67,0.55651
2025-10-26 16:00:00,113699.67,113738.23,113137.56,113459.26,0.71629
2025-10-26 20:00:00,113462.18,115281.19,112952.39,114687.19,2.50256
2025-10-27 00:00:00,114686.07,115447.51,114686.07,115122.6,0.90455
2025-10-27 04:00:00,115116.78,116266.27,114839.76,115609.59,1.60288
2025-10-27 08:00:00,115664.55,115664.55,114797.48,115529.65,0.50307
2025-10-27 12:00:00,115412.6,115527.15,114547.19,115023.55,1.06785
2025-10-27 16:00:00,114813.61,115784.49,114810.19,115075.47,0.74867
2025-10-27 20:00:00,114810.25,115071.37,113876.19,114210.0,0.73815
2025-10-28 00:00:00,113923.68,114544.99,113642.05,114055.11,1.05889
2025-10-28 04:00:00,114054.07,114260.86,113544.46,114075.7,0.20856
2025-10-28 08:00:00,114260.95,114585.0,114010.75,114568.32,0.18409
2025-10-28 12:00:00,114559.98,116000.0,114090.58,114822.9,3.68395
2025-10-28 16:00:00,114810.64,115584.12,113588.32,113588.34,0.76614
2025-10-28 20:00:00,113722.87,113722.87,112251.72,112858.98,2.08663
2025-10-29 00:00:00,112858.99,113090.77,112018.1,112606.76,1.20831
2025-10-29 04:00:00,112607.69,113447.07,112524.47,113447.07,0.45775
2025-10-29 08:00:00,113447.07,113539.57,112826.53,112899.7,0.12264
2025-10-29 12:00:00,113241.67,113616.07,111400.0,111599.45,2.18905
2025-10-29 16:00:00,111400.23,111892.87,109357.82,110813.98,8.06329
2025-10-29 20:00:00,110813.85,111783.94,109756.55,110145.05,0.61884
2025-10-30 00:00:00,110143.82,111000.0,109751.92,110575.97,0.5081
2025-10-30 04:00:00,110937.01,111544.84,108030.97,111321.41,1.79404
2025-10-30 08:00:00,111358.5,111358.53,109867.35,109983.76,0.221
2025-10-30 12:00:00,110090.6,110090.6,107400.85,107749.59,2.98882
2025-10-30 16:00:00,107503.16,108223.41,106451.01,106737.91,3.62696
2025-10-30 20:00:00,106737.45,108333.28,106306.83,108301.73,1.74233
2025-10-31 00:00:00,108333.27,109985.94,108297.24,108989.28,0.91469
2025-10-31 04:00:00,109197.26,110182.35,109197.26,109311.64,0.23941
2025-10-31 08:00:00,109667.93,110444.12,109311.33,110444.12,0.34895
2025-10-31 12:00:00,110443.9,111113.46,109433.66,110183.11,0.84638
2025-10-31 16:00:00,110183.1,110280.35,108609.42,109986.48,2.13173
2025-10-31 20:00:00,110014.72,110014.72,109330.42,109740.02,0.31401
2025-11-01 00:00:00,109739.4,110193.84,109368.37,109913.37,0.44316
2025-11-01 04:00:00,109923.44,110511.48,109923.44,109951.23,0.11897
2025-11-01 08:00:00,110235.62,110376.86,109857.93,110227.74,0.06113
2025-11-01 12:00:00,110219.11,110305.4,109734.79,110221.57,0.89731
2025-11-01 16:00:00,110008.52,110571.05,110008.49,110327.77,0.55142
2025-11-01 20:00:00,110325.6,110484.49,109876.62,110000.17,0.50883
2025-11-02 00:00:00,110180.35,110225.9,109857.69,109875.83,0.14456
2025-11-02 04:00:00,110093.3,110996.79,109880.92,110995.64,0.19459
2025-11-02 08:00:00,110995.15,111222.67,110282.56,111222.67,0.26953
2025-11-02 12:00:00,111222.36,111234.51,110183.1,110183.1,0.13978
2025-11-02 16:00:00,110198.25,110422.0,109748.18,110236.59,0.15648
2025-11-02 20:00:00,109903.25,110675.77,109500.0,110675.77,0.4338
2025-11-03 00:00:00,110719.97,110750.32,107991.3,108219.71,1.94814
2025-11-03 04:00:00,107949.66,108209.77,107098.19,107472.43,0.8837
2025-11-03 08:00:00,107472.49,107979.89,106845.2,107833.33,1.45284
2025-11-03 12:00:00,107931.27,108270.8,105721.52,105757.41,7.54478
2025-11-03 16:00:00,105756.95,107699.9,105352.99,107385.2,3.26574
2025-11-03 20:00:00,107062.18,107364.28,105847.53,106350.88,7.06799
2025-11-04 00:00:00,106352.22,107278.39,105866.1,107178.8,0.95158
2025-11-04 04:00:00,107254.42,107254.42,104244.54,104620.99,1.54755
2025-11-04 08:00:00,104611.61,104680.77,103649.88,104402.52,3.26115
2025-11-04 12:00:00,104669.61,104791.96,102989.7,103256.4,2.14347
2025-11-04 16:00:00,103527.18,103554.7,100000.02,100426.87,22.41475
2025-11-04 20:00:00,100427.9,101800.35,99000.03,101752.18,8.23716
2025-11-05 00:00:00,101380.85,102240.71,99000.0,102238.9,5.6323
2025-11-05 04:00:00,102238.64,102313.07,101532.81,102174.44,1.45591
2025-11-05 08:00:00,102092.62,102133.6,101245.68,102114.79,0.45133
2025-11-05 12:00:00,102114.35,103802.14,101794.47,103486.18,6.45322
2025-11-05 16:00:00,103802.05,104476.05,103088.5,104013.58,2.7473
2025-11-05 20:00:00,104060.37,104500.0,103262.82,104097.61,1.0127
2025-11-06 00:00:00,103816.47,104096.36,102732.44,103857.95,0.87032
2025-11-06 04:00:00,103831.03,104126.07,102981.97,103303.21,3.68011
2025-11-06 08:00:00,103297.45,103454.49,102692.93,103270.0,0.21082
2025-11-06 12:00:00,103324.76,103582.53,101578.78,102050.0,3.43531
2025-11-06 16:00:00,102050.0,102363.85,100380.68,101510.91,2.38983
2025-11-06 20:00:00,101672.28,101672.28,100511.85,101449.54,1.53527
2025-11-07 00:00:00,101444.75,102344.33,100727.55,101918.96,1.08457
2025-11-07 04:00:00,101885.43,102464.22,101525.18,102088.44,1.11714
2025-11-07 08:00:00,102082.24,102082.24,99809.76,100574.91,1.31289
2025-11-07 12:00:00,100570.63,101156.46,99301.26,101142.82,6.10123
2025-11-07 16:00:00,100831.84,103344.84,100592.28,103344.84,3.55382
2025-11-07 20:00:00,103115.99,104037.99,102915.68,103700.0,0.86934
2025-11-08 00:00:00,103364.1,103595.71,102618.04,102618.11,1.15654
2025-11-08 04:00:00,102963.4,102963.4,101939.8,102398.17,0.80146
2025-11-08 08:00:00,102095.34,102640.47,101757.24,102168.71,0.24361
2025-11-08 12:00:00,102166.03,102255.18,101512.3,101858.6,0.61297
2025-11-08 16:00:00,101857.72,102245.64,101548.12,102163.82,0.74148
2025-11-08 20:00:00,102160.52,102494.56,101822.78,102473.99,0.32788
2025-11-09 00:00:00,102472.89,102472.89,101419.94,101769.55,0.61906
2025-11-09 04:00:00,101501.07,102115.74,101501.07,101750.0,0.28252
2025-11-09 08:00:00,102010.36,102335.37,101526.28,102322.17,0.36343
2025-11-09 12:00:00,102340.54,104102.52,101935.31,103812.12,0.6748
2025-11-09 16:00:00,103681.16,104760.54,103350.13,104760.54,1.50326
2025-11-09 20:00:00,104760.54,105499.99,104126.44,104904.38,1.4205
2025-11-10 00:00:00,104900.18,106633.78,104371.8,106182.88,4.00395
2025-11-10 04:00:00,105901.77,106603.55,105809.87,106339.6,2.95053
2025-11-10 08:00:00,106599.52,106632.09,105866.98,106301.75,0.22353
2025-11-10 12:00:00,106336.41,106594.39,104606.94,104719.04,2.75719
2025-11-10 16:00:00,105101.63,106108.68,104776.82,105968.07,1.98401
2025-11-10 20:00:00,106024.85,106291.76,105311.0,106194.85,0.39963
2025-11-11 00:00:00,105934.44,107428.72,105596.29,106512.08,1.63036
2025-11-11 04:00:00,106636.92,106636.92,104811.33,105106.29,0.51929
2025-11-11 08:00:00,104760.69,105475.34,104760.69,105201.12,0.28136
2025-11-11 12:00:00,105462.36,105475.86,103250.0,103648.0,1.87483
2025-11-11 16:00:00,103460.39,103728.87,102926.52,103204.48,2.101
2025-11-11 20:00:00,103416.69,103416.69,102500.04,103208.79,1.34714
2025-11-12 00:00:00,103204.83,103456.65,102864.74,103438.1,0.36386
2025-11-12 04:00:00,103434.49,103610.87,103053.04,103225.0,0.68016
2025-11-12 08:00:00,103390.25,105176.61,103118.99,105036.35,0.73752
2025-11-12 12:00:00,105075.42,105311.48,102000.0,102349.83,1.28493
2025-11-12 16:00:00,102348.06,102348.06,100850.0,101475.6,1.77094
2025-11-12 20:00:00,101468.53,102005.88,101119.15,101783.24,0.40088
2025-11-13 00:00:00,101680.01,102571.33,101010.95,102255.67,1.10165
2025-11-13 04:00:00,102155.25,104022.2,101757.22,103322.7,1.46077
2025-11-13 08:00:00,103570.46,103813.87,102571.53,103141.75,0.56428
2025-11-13 12:00:00,103140.9,103362.87,101262.26,101262.26,1.80339
2025-11-13 16:00:00,101507.12,101508.57,98250.0,98768.47,13.72511
2025-11-13 20:00:00,98929.33,100546.95,98066.09,99943.75,2.88949
